timestamp,model,params,mean_f1_macro,std_f1_macro,notes
2026-01-05T19:24:56,NN_Arch_Tuned_>30_Precision,0.5046692490577698,0.011465566232800484,,
2026-01-05T19:24:56,NN_Arch_Tuned_>30_Recall,0.3614220917224884,0.01169835589826107,,
2026-01-05T19:24:56,NN_Arch_Tuned_>30_F1,0.42110562324523926,0.010174829512834549,,
2026-01-05T19:24:56,NN_Arch_Tuned_NO_Precision,0.6133139729499817,0.003564109094440937,,
2026-01-05T19:24:56,NN_Arch_Tuned_NO_Recall,0.8450098037719727,0.006298569031059742,,
2026-01-05T19:24:56,NN_Arch_Tuned_NO_F1,0.710743248462677,0.0033912090584635735,,
2026-01-05T19:30:17,NN_Arch_Tuned_wider_128_64_relu_Val_F1_Macro_Mean_Score,0.3988859951496124,0.0035964653361588717,,
2026-01-05T19:30:17,NN_Arch_Tuned_wider_128_64_relu_Val_Accuracy_Mean_Score,0.58439328553398,0.0033517726161645767,,
2026-01-05T19:30:17,NN_Arch_Tuned_wider_128_64_relu_Val_F1_Weighted_Mean_Score,0.5378270149230957,0.0036649240646511316,,
2026-01-05T19:38:38,NN_Arch_Tuned,0.6133139729499817,0.003564109094440937,,
2026-01-05T19:38:38,NN_Arch_Tuned_wider_128_64_relu,0.8450098037719727,0.006298569031059742,,
2026-01-05T19:38:38,NN_Arch_Tuned_wider_128_64_relu,0.710743248462677,0.0033912090584635735,,
2026-01-07T14:20:39,LogisticRegression_V4_CorrFilter,"{'C': 0.1, 'corr_threshold': 0.9}",0.4344152265076827,0.003830160066597912,Correlation filter + VarianceThreshold + StandardScaler
2026-01-07T14:20:42,LinearSVC,"{'class_weight': 'balanced', 'max_iter': 5000}",0.43167491065982333,0.0027347556303594918,Linear baseline
2026-01-07T14:31:07,PCA29+SVC_RBF,"{'pca_n_components': 29, 'svm_kernel': 'rbf', 'svm_gamma': 'scale', 'svm_C': 1.0, 'class_weight': 'balanced'}",0.43199767311845977,0.003898842284665938,PCA keeps 29 components; reduces dimension automatically
2026-01-07T14:31:48,"Non-tuned Neural Network (64-32-relu, 10-fold CV)",0.3831580579280853,0.004363559016685944,,
2026-01-07T14:38:06,NN_Custom_Tuned_Stage1,"{'arch': '64-32-relu, max_epochs=50', 'lr': 0.01, 'weight_decay': 0.0001, 'batch_size': 128}",0.3831580579280853,0.004599595442414284,"Top Config: lr=0.01, weight_decay=0.0001, batch_size=128"
2026-01-07T14:44:27,NN_Arch_Tuned_wider_128_64_relu,"{'stage': 'architecture_tuning', 'architecture': 'wider_128_64_relu', 'cv': '10-fold'}",0.3988859951496124,0.0037910074461251497,Architecture selection based on macro-F1; reported score is mean ± std over CV folds
2026-01-07T17:24:03,LogisticRegression_V4_CorrFilter,"{'C': 0.1, 'corr_threshold': 0.9}",0.4344152265076827,0.003830160066597912,Correlation filter + VarianceThreshold + StandardScaler
2026-01-07T17:51:53,LinearSVC_with_rules,"{'class_weight': 'balanced', 'max_iter': 5000}",0.43156870468488256,0.0025521890799054675,Linear baseline + expired->NO post-processing
2026-01-07T19:12:17,LogisticRegression_V4_CorrFilter,"{'C': 0.1, 'corr_threshold': 0.9}",0.4344152265076827,0.003830160066597912,Correlation filter + VarianceThreshold + StandardScaler
2026-01-07T19:12:21,LinearSVC_with_rules,"{'class_weight': 'balanced', 'max_iter': 5000}",0.43167491065982333,0.0027347556303594918,Linear baseline + expired->NO post-processing (decision_function)
2026-01-07T19:24:22,PCA29+SVC_RBF_with_rules,"{'pca_n_components': 29, 'svm_kernel': 'rbf', 'svm_gamma': 'scale', 'svm_C': 1.0, 'class_weight': 'balanced', 'probability': False}",0.4330571897551792,0.004037168582652271,PCA + RBF SVC + expired->NO post-processing (decision_function)
2026-01-07T19:25:05,"Non-tuned Neural Network (64-32-relu, 10-fold CV)",0.3831580579280853,0.004363559016685944,,
2026-01-07T19:31:23,NN_Custom_Tuned_Stage1,"{'arch': '64-32-relu, max_epochs=50', 'lr': 0.01, 'weight_decay': 0.0001, 'batch_size': 128}",0.3831580579280853,0.004599595442414284,"Top Config: lr=0.01, weight_decay=0.0001, batch_size=128"
2026-01-07T19:37:41,NN_Arch_Tuned_wider_128_64_relu,"{'stage': 'architecture_tuning', 'architecture': 'wider_128_64_relu', 'cv': '10-fold'}",0.3988859951496124,0.0037910074461251497,Architecture selection based on macro-F1; reported score is mean ± std over CV folds
